TIME,GEO,VEHICLE,UNIT,Value
2001,Ireland,Trains,Percentage,3.3
2001,Ireland,Passenger cars,Percentage,80.6
2001,Ireland,"Motor coaches, buses and trolley buses",Percentage,16.1
2001,Greece,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,25.7
2001,Greece,Trains,Percentage,1.9
2001,Greece,Passenger cars,Percentage,74.3
2001,Greece,"Motor coaches, buses and trolley buses",Percentage,23.8
2001,Spain,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,19.2
2001,Spain,Trains,Percentage,5.5
2001,Spain,Passenger cars,Percentage,80.8
2001,Spain,"Motor coaches, buses and trolley buses",Percentage,13.7
2001,France,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,13.4
2001,France,Trains,Percentage,8.5
2001,France,Passenger cars,Percentage,86.6
2001,France,"Motor coaches, buses and trolley buses",Percentage,4.9
2001,Croatia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,18.3
2001,Croatia,Trains,Percentage,4.8
2001,Croatia,Passenger cars,Percentage,81.7
2001,Croatia,"Motor coaches, buses and trolley buses",Percentage,13.5
2001,Italy,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.8
2001,Italy,Trains,Percentage,5.8
2001,Italy,Passenger cars,Percentage,83.2
2001,Italy,"Motor coaches, buses and trolley buses",Percentage,11
2001,Cyprus,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,22.5
2001,Cyprus,Passenger cars,Percentage,77.5
2001,Cyprus,"Motor coaches, buses and trolley buses",Percentage,22.5
2001,Latvia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.1
2001,Latvia,Trains,Percentage,4.8
2001,Latvia,Passenger cars,Percentage,79.9
2001,Latvia,"Motor coaches, buses and trolley buses",Percentage,15.3
2001,Lithuania,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.4
2001,Lithuania,Trains,Percentage,2.8
2001,Lithuania,Passenger cars,Percentage,82.6
2001,Lithuania,"Motor coaches, buses and trolley buses",Percentage,14.6
2001,Luxembourg,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14.8
2001,Luxembourg,Trains,Percentage,5.1
2001,Luxembourg,Passenger cars,Percentage,85.2
2001,Luxembourg,"Motor coaches, buses and trolley buses",Percentage,9.7
2001,Hungary,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,38.3
2001,Hungary,Trains,Percentage,13.4
2001,Hungary,Passenger cars,Percentage,61.7
2001,Hungary,"Motor coaches, buses and trolley buses",Percentage,24.9
2001,Malta,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.7
2001,Malta,Passenger cars,Percentage,79.3
2001,Malta,"Motor coaches, buses and trolley buses",Percentage,20.7
2001,Netherlands,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14
2001,Netherlands,Trains,Percentage,9.4
2001,Netherlands,Passenger cars,Percentage,86
2001,Netherlands,"Motor coaches, buses and trolley buses",Percentage,4.6
2001,Austria,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.6
2001,Austria,Trains,Percentage,9.7
2001,Austria,Passenger cars,Percentage,79.4
2001,Austria,"Motor coaches, buses and trolley buses",Percentage,10.9
2001,Poland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,33.1
2001,Poland,Trains,Percentage,9.5
2001,Poland,Passenger cars,Percentage,66.9
2001,Poland,"Motor coaches, buses and trolley buses",Percentage,23.5
2001,Portugal,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.2
2001,Portugal,Trains,Percentage,4.5
2001,Portugal,Passenger cars,Percentage,82.8
2001,Portugal,"Motor coaches, buses and trolley buses",Percentage,12.6
2001,Romania,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,27.5
2001,Romania,Trains,Percentage,15.1
2001,Romania,Passenger cars,Percentage,72.5
2001,Romania,"Motor coaches, buses and trolley buses",Percentage,12.4
2001,Slovenia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.5
2001,Slovenia,Trains,Percentage,2.9
2001,Slovenia,Passenger cars,Percentage,83.5
2001,Slovenia,"Motor coaches, buses and trolley buses",Percentage,13.6
2001,Slovakia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,35.3
2001,Slovakia,Trains,Percentage,7.5
2001,Slovakia,Passenger cars,Percentage,64.7
2001,Slovakia,"Motor coaches, buses and trolley buses",Percentage,27.8
2001,Finland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.2
2001,Finland,Trains,Percentage,4.8
2001,Finland,Passenger cars,Percentage,83.8
2001,Finland,"Motor coaches, buses and trolley buses",Percentage,11.3
2001,Sweden,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14.9
2001,Sweden,Trains,Percentage,7.3
2001,Sweden,Passenger cars,Percentage,85.1
2001,Sweden,"Motor coaches, buses and trolley buses",Percentage,7.6
2001,United Kingdom,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,11.8
2001,United Kingdom,Trains,Percentage,5.3
2001,United Kingdom,Passenger cars,Percentage,88.2
2001,United Kingdom,"Motor coaches, buses and trolley buses",Percentage,6.5
2001,Iceland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,11.4
2001,Iceland,Passenger cars,Percentage,88.6
2001,Iceland,"Motor coaches, buses and trolley buses",Percentage,11.4
2001,Norway,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,11.5
2001,Norway,Trains,Percentage,4.5
2001,Norway,Passenger cars,Percentage,88.5
2001,Norway,"Motor coaches, buses and trolley buses",Percentage,6.9
2001,Switzerland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,19.4
2001,Switzerland,Trains,Percentage,14.2
2001,Switzerland,Passenger cars,Percentage,80.6
2001,Switzerland,"Motor coaches, buses and trolley buses",Percentage,5.2
2001,North Macedonia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17
2001,North Macedonia,Trains,Percentage,2.8
2001,North Macedonia,Passenger cars,Percentage,83
2001,North Macedonia,"Motor coaches, buses and trolley buses",Percentage,14.3
2001,Turkey,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,50.4
2001,Turkey,Trains,Percentage,3.4
2001,Turkey,Passenger cars,Percentage,49.6
2001,Turkey,"Motor coaches, buses and trolley buses",Percentage,47
2002,European Union - 28 countries,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.6
2002,European Union - 28 countries,Trains,Percentage,6.8
2002,European Union - 28 countries,Passenger cars,Percentage,83.4
2002,European Union - 28 countries,"Motor coaches, buses and trolley buses",Percentage,9.8
2002,Belgium,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,18.1
2002,Belgium,Trains,Percentage,6.5
2002,Belgium,Passenger cars,Percentage,81.9
2002,Belgium,"Motor coaches, buses and trolley buses",Percentage,11.7
2002,Bulgaria,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,38.8
2002,Bulgaria,Trains,Percentage,5.4
2002,Bulgaria,Passenger cars,Percentage,61.2
2002,Bulgaria,"Motor coaches, buses and trolley buses",Percentage,33.4
2002,Czechia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,26.2
2002,Czechia,Trains,Percentage,7.5
2002,Czechia,Passenger cars,Percentage,73.8
2002,Czechia,"Motor coaches, buses and trolley buses",Percentage,18.7
2002,Denmark,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.9
2002,Denmark,Trains,Percentage,9.2
2002,Denmark,Passenger cars,Percentage,79.1
2002,Denmark,"Motor coaches, buses and trolley buses",Percentage,11.7
2002,Germany (until 1990 former territory of the FRG),"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,13.8
2002,Germany (until 1990 former territory of the FRG),Trains,Percentage,7.1
2002,Germany (until 1990 former territory of the FRG),Passenger cars,Percentage,86.2
2002,Germany (until 1990 former territory of the FRG),"Motor coaches, buses and trolley buses",Percentage,6.7
2002,Estonia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,28.3
2002,Estonia,Trains,Percentage,1.8
2002,Estonia,Passenger cars,Percentage,71.7
2002,Estonia,"Motor coaches, buses and trolley buses",Percentage,26.5
2002,Ireland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,19
2002,Ireland,Trains,Percentage,3.5
2002,Ireland,Passenger cars,Percentage,81
2002,Ireland,"Motor coaches, buses and trolley buses",Percentage,15.6
2002,Greece,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,24.9
2002,Greece,Trains,Percentage,1.9
2002,Greece,Passenger cars,Percentage,75.1
2002,Greece,"Motor coaches, buses and trolley buses",Percentage,23
2002,Spain,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.5
2002,Spain,Trains,Percentage,5.2
2002,Spain,Passenger cars,Percentage,82.5
2002,Spain,"Motor coaches, buses and trolley buses",Percentage,12.3
2002,France,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,13.6
2002,France,Trains,Percentage,8.7
2002,France,Passenger cars,Percentage,86.4
2002,France,"Motor coaches, buses and trolley buses",Percentage,5
2002,Croatia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.8
2002,Croatia,Trains,Percentage,4.5
2002,Croatia,Passenger cars,Percentage,82.2
2002,Croatia,"Motor coaches, buses and trolley buses",Percentage,13.3
2002,Italy,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.7
2002,Italy,Trains,Percentage,5.6
2002,Italy,Passenger cars,Percentage,83.3
2002,Italy,"Motor coaches, buses and trolley buses",Percentage,11.1
2002,Cyprus,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,22.6
2002,Cyprus,Passenger cars,Percentage,77.4
2002,Cyprus,"Motor coaches, buses and trolley buses",Percentage,22.6
2002,Latvia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,23.4
2002,Latvia,Trains,Percentage,4.8
2002,Latvia,Passenger cars,Percentage,76.6
2002,Latvia,"Motor coaches, buses and trolley buses",Percentage,18.6
2002,Lithuania,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,18
2002,Lithuania,Trains,Percentage,2.5
2002,Lithuania,Passenger cars,Percentage,82
2002,Lithuania,"Motor coaches, buses and trolley buses",Percentage,15.4
2002,Luxembourg,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14.3
2002,Luxembourg,Trains,Percentage,3.9
2002,Luxembourg,Passenger cars,Percentage,85.7
2002,Luxembourg,"Motor coaches, buses and trolley buses",Percentage,10.5
2002,Hungary,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,38.9
2002,Hungary,Trains,Percentage,13.9
2002,Hungary,Passenger cars,Percentage,61.1
2002,Hungary,"Motor coaches, buses and trolley buses",Percentage,25
2002,Malta,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.6
2002,Malta,Passenger cars,Percentage,79.4
2002,Malta,"Motor coaches, buses and trolley buses",Percentage,20.6
2002,Netherlands,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,13.6
2002,Netherlands,Trains,Percentage,9.3
2002,Netherlands,Passenger cars,Percentage,86.4
2002,Netherlands,"Motor coaches, buses and trolley buses",Percentage,4.3
2002,Austria,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.6
2002,Austria,Trains,Percentage,9.7
2002,Austria,Passenger cars,Percentage,79.4
2002,Austria,"Motor coaches, buses and trolley buses",Percentage,10.9
2002,Poland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,30.3
2002,Poland,Trains,Percentage,8.6
2002,Poland,Passenger cars,Percentage,69.7
2002,Poland,"Motor coaches, buses and trolley buses",Percentage,21.7
2002,Portugal,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,15.1
2002,Portugal,Trains,Percentage,4.3
2002,Portugal,Passenger cars,Percentage,84.9
2002,Portugal,"Motor coaches, buses and trolley buses",Percentage,10.9
2002,Romania,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,24.2
2002,Romania,Trains,Percentage,11.9
2002,Romania,Passenger cars,Percentage,75.8
2002,Romania,"Motor coaches, buses and trolley buses",Percentage,12.3
2002,Slovenia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.1
2002,Slovenia,Trains,Percentage,3
2002,Slovenia,Passenger cars,Percentage,83.9
2002,Slovenia,"Motor coaches, buses and trolley buses",Percentage,13.2
2002,Slovakia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,33.2
2002,Slovakia,Trains,Percentage,7.2
2002,Slovakia,Passenger cars,Percentage,66.8
2002,Slovakia,"Motor coaches, buses and trolley buses",Percentage,26
2002,Finland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,15.9
2002,Finland,Trains,Percentage,4.8
2002,Finland,Passenger cars,Percentage,84.1
2002,Finland,"Motor coaches, buses and trolley buses",Percentage,11.1
2002,Sweden,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,14.7
2002,Sweden,Trains,Percentage,7.2
2002,Sweden,Passenger cars,Percentage,85.3
2002,Sweden,"Motor coaches, buses and trolley buses",Percentage,7.5
2002,United Kingdom,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,10.9
2002,United Kingdom,Trains,Percentage,5.3
2002,United Kingdom,Passenger cars,Percentage,89.1
2002,United Kingdom,"Motor coaches, buses and trolley buses",Percentage,5.6
2002,Iceland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,11.4
2002,Iceland,Passenger cars,Percentage,88.6
2002,Iceland,"Motor coaches, buses and trolley buses",Percentage,11.4
2002,Norway,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,11
2002,Norway,Trains,Percentage,4.1
2002,Norway,Passenger cars,Percentage,89
2002,Norway,"Motor coaches, buses and trolley buses",Percentage,6.9
2002,Switzerland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,19.9
2002,Switzerland,Trains,Percentage,14.8
2002,Switzerland,Passenger cars,Percentage,80.1
2002,Switzerland,"Motor coaches, buses and trolley buses",Percentage,5.1
2002,North Macedonia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,18.7
2002,North Macedonia,Trains,Percentage,1.9
2002,North Macedonia,Passenger cars,Percentage,81.3
2002,North Macedonia,"Motor coaches, buses and trolley buses",Percentage,16.7
2002,Turkey,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,51
2002,Turkey,Trains,Percentage,3.1
2002,Turkey,Passenger cars,Percentage,49
2002,Turkey,"Motor coaches, buses and trolley buses",Percentage,47.8
2003,European Union - 28 countries,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.4
2003,European Union - 28 countries,Trains,Percentage,6.6
2003,European Union - 28 countries,Passenger cars,Percentage,83.6
2003,European Union - 28 countries,"Motor coaches, buses and trolley buses",Percentage,9.8
2003,Belgium,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,19.5
2003,Belgium,Trains,Percentage,6.5
2003,Belgium,Passenger cars,Percentage,80.5
2003,Belgium,"Motor coaches, buses and trolley buses",Percentage,13
2003,Bulgaria,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,33.5
2003,Bulgaria,Trains,Percentage,5.5
2003,Bulgaria,Passenger cars,Percentage,66.5
2003,Bulgaria,"Motor coaches, buses and trolley buses",Percentage,28.1
2003,Czechia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,24.5
2003,Czechia,Trains,Percentage,7.3
2003,Czechia,Passenger cars,Percentage,75.5
2003,Czechia,"Motor coaches, buses and trolley buses",Percentage,17.2
2003,Denmark,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,20.9
2003,Denmark,Trains,Percentage,9.3
2003,Denmark,Passenger cars,Percentage,79.1
2003,Denmark,"Motor coaches, buses and trolley buses",Percentage,11.6
2003,Germany (until 1990 former territory of the FRG),"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,13.9
2003,Germany (until 1990 former territory of the FRG),Trains,Percentage,7.2
2003,Germany (until 1990 former territory of the FRG),Passenger cars,Percentage,86.1
2003,Germany (until 1990 former territory of the FRG),"Motor coaches, buses and trolley buses",Percentage,6.8
2003,Estonia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,26.4
2003,Estonia,Trains,Percentage,1.7
2003,Estonia,Passenger cars,Percentage,73.6
2003,Estonia,"Motor coaches, buses and trolley buses",Percentage,24.7
2003,Ireland,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,18.6
2003,Ireland,Trains,Percentage,3.3
2003,Ireland,Passenger cars,Percentage,81.4
2003,Ireland,"Motor coaches, buses and trolley buses",Percentage,15.3
2003,Greece,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,23.6
2003,Greece,Trains,Percentage,1.6
2003,Greece,Passenger cars,Percentage,76.4
2003,Greece,"Motor coaches, buses and trolley buses",Percentage,22.1
2003,Spain,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,16.9
2003,Spain,Trains,Percentage,5.1
2003,Spain,Passenger cars,Percentage,83.1
2003,Spain,"Motor coaches, buses and trolley buses",Percentage,11.8
2003,France,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,13.4
2003,France,Trains,Percentage,8.4
2003,France,Passenger cars,Percentage,86.6
2003,France,"Motor coaches, buses and trolley buses",Percentage,5
2003,Croatia,"Trains, motor coaches, buses and trolley buses - sum of available data",Percentage,17.8
2003,Croatia,Trains,Percentage,4.2
2003,Croatia,Passenger cars,Percentage,82.2
2003,Croatia,"Motor coaches, buses and trolley buses",Percentage,13.6
